company,website,city,source,has_website
Sodium Diphenylamine Sulphonate AR,https://www.indiamart.com/proddetail/sodium-diphenylamine-sulphonate-ar-8036137373.html,Pune,IndiaMART,True
"Powder Methyl 4-Chlorobutyrate (M4CB), 25 kg",https://www.indiamart.com/proddetail/methyl-4-chlorobutyrate-m4cb-2854976091248.html,Pune,IndiaMART,True
"Meso-Tetra(3-Methylphenyl) Porphine, Other Name:5,10,15,20-Tetrakis(Meta-Tolyl)Porphyrin",https://www.indiamart.com/proddetail/meso-tetra-3-methylphenyl-porphine-other-name-5-10-15-20-tetrakis-meta-tolyl-porphyrin-3942943255.html,Pune,IndiaMART,True
White Speciality Grade Multi Component Gas,https://www.indiamart.com/proddetail/white-speciality-grade-25977591762.html,Pune,IndiaMART,True
C26h43no5 Glycochenodeoxycholic Acid,https://www.indiamart.com/proddetail/glycochenodeoxycholic-acid-21650108633.html,Pune,IndiaMART,True
Tetra Butyl Ammonium Acetate,https://www.indiamart.com/proddetail/tetra-butyl-ammonium-acetate-2850433685988.html,Pune,IndiaMART,True
"200 g Components Crack Testing Chemical, Liquid",https://www.indiamart.com/proddetail/components-crack-testing-chemical-16853235988.html,Pune,IndiaMART,True
Fatty Bisamide Wax,https://www.indiamart.com/proddetail/fatty-bisamide-wax-6169018888.html,Pune,IndiaMART,True
Fumed Silica Syloid,https://www.indiamart.com/proddetail/fumed-silica-syloid-3869087291.html,Pune,IndiaMART,True
Cuminaldehyde Liquid aroma,https://www.indiamart.com/proddetail/cuminaldehyde-liquid-aroma-25459855297.html,Pune,IndiaMART,True
Phosphonazo III Liquid,https://www.indiamart.com/proddetail/phosphonazo-iii-liquid-2857063863948.html,Pune,IndiaMART,True
"Platinum 5% On Charcoal, Powder",https://www.indiamart.com/proddetail/platinum-5-on-charcoal-4868768212.html,Pune,IndiaMART,True
BIOSOL - STABILIZER,https://www.indiamart.com/proddetail/biosol-stabilizer-2852202300197.html,Pune,IndiaMART,True
Sodium Nitrate Powder 99% (50 Kg Bag),https://www.indiamart.com/proddetail/sodium-nitrate-powder-13511240191.html,Pune,IndiaMART,True
"White Benzoin Powder, For Industrial, Purity: 99%",https://www.indiamart.com/proddetail/white-benzoin-powder-2854651660862.html,Pune,IndiaMART,True
Phase Change Material 18°C (Salt Hydrate) for Refrigeration (Liquid Form),https://www.indiamart.com/proddetail/phase-change-material-2852626409573.html,Pune,IndiaMART,True
"Chem UP101, Grade Standard: Technical Grade, Packaging Size: 50 Kg Bag",https://www.indiamart.com/proddetail/chem-up101-23181266030.html,Pune,IndiaMART,True
"Sodium Nitrate Export Quality, For Industrial Usage",https://www.indiamart.com/proddetail/sodium-nitrate-export-quality-24765916297.html,Pune,IndiaMART,True
Sodium Nitrate Chemical,https://www.indiamart.com/proddetail/sodium-nitrate-chemical-2858742125288.html,Pune,IndiaMART,True
Phase Changing Materials,https://www.indiamart.com/proddetail/phase-changing-materials-26740422791.html,Pune,IndiaMART,True
"Thymol Crystals, Technical Grade, Packaging Size: 25 Kg",https://www.indiamart.com/proddetail/thymol-crystals-2852529376191.html,Pune,IndiaMART,True
"Liquid Agarbatti DEP Oil, Packaging Type: Can, for Industrial",https://www.indiamart.com/proddetail/agarbatti-dep-oil-20013041962.html,Pune,IndiaMART,True
Indo GSP DEP,https://www.indiamart.com/proddetail/indo-gsp-dep-25379375512.html,Pune,IndiaMART,True
1 kg Sodium Cocoyl Isethionate Powder,https://www.indiamart.com/proddetail/sodium-cocoyl-isethionate-powder-23288307497.html,Pune,IndiaMART,True
"Industrial Grade DI ETHYL PHTHALATE (DEP), 99.50%, Packaging Size: 240",https://www.indiamart.com/proddetail/di-ethyl-phthalate-dep-2849784725991.html,Pune,IndiaMART,True
"Sodium Nitrate Powder, For Industrial",https://www.indiamart.com/proddetail/sodium-nitrate-powder-2855136476633.html,Pune,IndiaMART,True
Methyl Anthranilate,https://www.indiamart.com/proddetail/methyl-anthranilate-2857377363873.html,Pune,IndiaMART,True
Industrial Dimethyl Phthalate,https://www.indiamart.com/proddetail/industrial-dimethyl-phthalate-2851829821448.html,Pune,IndiaMART,True
